Title,Carpet Area,Status,Floor,Price,Bathrooms,Transaction,Furnishing
"3 BHK Flat for Sale in Neptune Apartments, Bhamti, Nagpur",N/A,Poss. by Dec '27,N/A,"₹
1.20 Cr",,New Property,
"3 BHK Flat for Sale in Skyline Imperial, Gorewada, Nagpur",N/A,Poss. by Dec '28,N/A,"₹
41 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Poss. by Oct '25,N/A,"₹
82.3 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Ready to Move,N/A,"₹
84.9 Lac",,New Property,
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",N/A,Ready to Move,N/A,"₹
82.3 Lac",,New Property,
"3 BHK Flat for Sale in Vrindavan Estate, Pipla, Nagpur",N/A,Poss. by Aug '28,N/A,"₹
70 Lac",,New Property,
"3 BHK Flat for Sale in Meher Ganga, Badil Kheda, Nagpur",N/A,Poss. by Mar '28,N/A,"₹
80 Lac",,New Property,
"3 BHK Flat for Sale in Classic Dream, Jaitala Road, Nagpur",N/A,Poss. by Jan '26,N/A,"₹
75 Lac",,New Property,
"3 BHK Flat for Sale in Geetais The Palm, Chikhali, Nagpur",N/A,Poss. by Dec '26,N/A,"₹
62 Lac",,New Property,
"3 BHK Flat for Sale in Majestic Garden, Manish Nagar, Nagpur",N/A,Poss. by Feb '25,N/A,"₹
70 Lac",,New Property,
"2 BHK Flat for Sale in Namokars Tritvam, Borgaon, Nagpur",N/A,Poss. by Dec '26,N/A,"₹
43.5 Lac",,New Property,
"3 BHK Flat for Sale in Sarika Enclave, Narendra Nagar, Nagpur",N/A,Poss. by May '25,N/A,"₹
89 Lac",,New Property,
"2 BHK Flat for Sale in TATTVA APAS, Bel Tarodi, Nagpur",N/A,Poss. by Nov '28,N/A,"₹
53.9 Lac",,New Property,
"3 BHK Flat for Sale in TATTVA APAS, Bel Tarodi, Nagpur",N/A,Poss. by Nov '28,N/A,"₹
73.5 Lac",,New Property,
"3 BHK Flat for Sale in Mansarovar Paradise, New Manish Nagar, Nagpur",N/A,Poss. by Nov '24,N/A,"₹
75 Lac",,New Property,
"2 BHK Flat for Sale in Tithi Residency 2, Narendra Nagar, Nagpur",N/A,Poss. by Jan '27,N/A,"₹
62 Lac",,New Property,
"3 BHK Flat for Sale in Officers Enclave, Bel Tarodi, Nagpur",N/A,Poss. by Jan '26,N/A,"₹
70.7 Lac",2,New Property,Unfurnished
"2 BHK Flat for Sale in Kamla Sahaniwas, Hajaripahad, Nagpur",N/A,Ready to Move,N/A,"₹
20.6 Lac",,New Property,Unfurnished
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",1798 sqft,Poss. by Oct '24,N/A,"₹
80.9 Lac",3,New Property,Semi-Furnished
"4 BHK Flat for Sale in Maxx Glory, Manish Nagar, Nagpur",N/A,Ready to Move,N/A,"₹
1.03 Cr",4,New Property,Semi-Furnished
"6 BHK Villa for Sale in Radha Madhav Vrindavan, Wardha Road Nagpur",N/A,Poss. by Dec '27,N/A,"₹
1.25 Cr",7,New Property,Unfurnished
"2 BHK Flat for Sale in Greenfield 4, Hingna, Nagpur",N/A,Poss. by Dec '25,N/A,"₹
25.9 Lac",,New Property,Semi-Furnished
"2 BHK Flat for Sale in Aakar Park, Besa, Nagpur",N/A,Poss. by Dec '25,N/A,"₹
33.3 Lac",,New Property,Unfurnished
"2 BHK Flat for Sale in Aditya Residency, Pipla, Nagpur",953 sqft,Poss. by May '26,2 out of 10,"₹
52.9 Lac",,New Property,Unfurnished
"3 BHK Flat for Sale in Shree Siddheshwar Nagar 2, Wela Harichandra, Nagpur",N/A,Poss. by Mar '25,2 out of 13,"₹
47 Lac",,New Property,Furnished
"3 BHK Flat for Sale in Nakshatra Apartment, Manish Nagar, Nagpur",1990 sqft,Poss. by Mar '28,N/A,"₹
89.6 Lac",3,New Property,Semi-Furnished
"3 BHK Flat for Sale in Shiv Kailasa, Mihan, Nagpur",1441 sqft,Poss. by Dec '24,4 out of 13,"₹
61.2 Lac",,,
"3 BHK Flat for Sale in Manish Nagar, Nagpur",1010 sqft,Ready to Move,4 out of 4,"₹
57 Lac",,,
"3 BHK Flat for Sale in Wardha Road, Nagpur",1250 sqft,Poss. by Dec '25,1 out of 7,"₹
65.8 Lac",,,
"2 BHK Flat for Sale in Rachana Purva, Friends Colony, Nagpur",N/A,Poss. by Jun '26,N/A,"₹
55.7 Lac",,New Property,
1 BHK Builder Floor for Sale in Mankapur Nagpur,N/A,Ready to Move,1 out of 4,"₹
22.5 Lac",,,
2 BHK Apartment for Sale in Hingna Road Nagpur,N/A,Poss. by Jul '25,4 out of 7,"₹
63 Lac",,,
3 BHK Apartment for Sale in Manish Nagar Nagpur,N/A,Poss. by Mar '25,3 out of 7,"₹
85 Lac",,,
1 BHK Apartment for Sale in Jaitala Nagpur,660 sqft,Ready to Move,5 out of 8,"₹
19.6 Lac",,,
2 BHK Apartment for Sale in Mihan Nagpur,N/A,Poss. by Nov '26,1 out of 16,"₹
63.1 Lac",,,
3 BHK Apartment for Sale in Manish Nagar Nagpur,N/A,Poss. by Nov '25,N/A,"₹
80 Lac",,Resale,
"2 BHK Apartment for Sale in Credence Square, Dabha Nagpur",1220 sqft,Poss. by Feb '29,N/A,"₹
36.6 Lac",,New Property,
2 BHK Apartment for Sale in KT Nagar Nagpur,800 sqft,Ready to Move,3 out of 4,"₹
58 Lac",,,
1 BHK House for Sale in Jaripatka Nagpur,300 sqft,Ready to Move,Ground out of 1,"₹
14 Lac",,,
"2 BHK Apartment for Sale in Moraj Waterfall Gateway, Mihan Nagpur",N/A,Ready to Move,9 out of 11,"₹
45 Lac",,,
"3 BHK Apartment for Sale in SLPL Phase II, New Manish Nagar Nagpur",700 sqft,Ready to Move,6 out of 7,"₹
1 Cr",,,
3 BHK House for Sale in Jaripatka Nagpur,1508 sqft,Ready to Move,N/A,"₹
70 Lac",,Resale,
2 BHK Apartment for Sale in Middle class Nagpur,900 sqft,Ready to Move,4 out of 4,"₹
52 Lac",,,
"2 BHK Apartment for Sale in SHRI RAM HEIGHTS FRIENDS COLONY, Friends Colony Nagpur",600 sqft,Ready to Move,4 out of 5,"₹
30 Lac",,,
3 BHK Apartment for Sale in Wardha Road Nagpur,1600 sqft,Ready to Move,2 out of 15,"₹
75 Lac",,,
"2 BHK Apartment for Sale in Swami Pride, Hajaripahad Nagpur",675 sqft,Ready to Move,4 out of 5,"₹
39 Lac",,,
"2 BHK Apartment for Sale in Sandeep Ashoka Enclave, Vayisena Nagar Nagpur",N/A,Ready to Move,N/A,"₹
40 Lac",N/A,Resale,N/A
3 BHK Builder Floor for Sale in Borgaon Nagpur,N/A,Ready to Move,4 out of 5,"₹
1.37 Cr",,,
"2 BHK Apartment for Sale in Green Field 2, Hingna Road Nagpur",848 sqft,Ready to Move,5 out of 8,"₹
40 Lac",,,
3 BHK Apartment for Sale in Lashkari Bagh Nagpur,875 sqft,Ready to Move,4 out of 4,"₹
42 Lac",,,
"3 BHK Apartment for Sale in Pioneer Regency, KT Nagar Nagpur",N/A,Ready to Move,1 out of 1,"₹
55 Lac",,,
"2 BHK Apartment for Sale in Sai Heights, Nara Nagpur",N/A,Ready to Move,2 out of 4,"₹
44 Lac",,,
"2 BHK Apartment for Sale in Diamond Divine, Borgaon Nagpur",445 sqft,Ready to Move,1 out of 4,"₹
33 Lac",,,
3 BHK Apartment for Sale in Kamptee Road Nagpur,850 sqft,Ready to Move,5 out of 5,"₹
34 Lac",,,
1 BHK Apartment for Sale in Vishwakarma Nagar Nagpur,479 sqft,Ready to Move,1 out of 4,"₹
26 Lac",,,
3 BHK Apartment for Sale in Jaripatka Nagpur,1100 sqft,Ready to Move,2 out of 3,"₹
90 Lac",,,
"2 BHK Apartment for Sale in Gudadhe Orbital Empire, Jaitala Nagpur",950 sqft,Ready to Move,1 out of 6,"₹
55 Lac",,,
"2 BHK Apartment for Sale in Leverage Tulip, Bokara Nagpur",950 sqft,Ready to Move,5 out of 6,"₹
51 Lac",,,
3 BHK Apartment for Sale in Khare Town Nagpur,1450 sqft,Poss. by Dec '25,5 out of 7,"₹
2.20 Cr",,,
"2 BHK Apartment for Sale in Vrindavan Township MIHAN, Mihan Nagpur",700 sqft,Ready to Move,3 out of 6,"₹
25 Lac",,,
"2 BHK Apartment for Sale in Sumangal Vihar, Hingna Road Nagpur",N/A,Ready to Move,6 out of 7,"₹
44 Lac",,,
3 BHK Apartment for Sale in Wardha Road Nagpur,N/A,Ready to Move,2 out of 3,"₹
85 Lac",,,
3 BHK Apartment for Sale in Spruha park Nagpur,1000 sqft,Poss. by Aug '25,1 out of 6,"₹
68 Lac",,,
4 BHK Builder Floor for Sale in Surya Nagar Nagpur,N/A,Ready to Move,5 out of 5,"₹
1.35 Cr",,,
2 BHK Apartment for Sale in Koradi Naka Nagpur,650 sqft,Poss. by Dec '25,5 out of 13,"₹
31 Lac",,,
"2 BHK Apartment for Sale in Om Shivam Shiv Brighton Phase II, Khapri Nagpur",1040 sqft,Ready to Move,6 out of 6,"₹
45 Lac",,,
"2 BHK Apartment for Sale in Shiv Kailasa, Mihan Nagpur",N/A,Ready to Move,10 out of 16,"₹
57.6 Lac",,,
2 BHK Apartment for Sale in Dabha Nagpur,800 sqft,Ready to Move,6 out of 6,"₹
37 Lac",,,
2 BHK Apartment for Sale in Omkar Nagar Nagpur,N/A,Ready to Move,2 out of 3,"₹
35 Lac",,,
"3 BHK Apartment for Sale in The Empyrean, Kotewada Nagpur",1200 sqft,Ready to Move,2 out of 7,"₹
55 Lac",,,
"2 BHK Apartment for Sale in SDPL Greens, Kamptee Road Nagpur",975 sqft,Ready to Move,2 out of 7,"₹
40 Lac",,,
2 BHK Apartment for Sale in New Manish Nagar Nagpur,730 sqft,Ready to Move,4 out of 4,"₹
50 Lac",,,
2 BHK Apartment for Sale in Anant Nagar Nagpur,800 sqft,Ready to Move,2 out of 3,"₹
43 Lac",,,
3 BHK Apartment for Sale in Amravati Road Nagpur,1100 sqft,Ready to Move,1 out of 6,"₹
1.10 Cr",,,
"2 BHK Apartment for Sale in Shiv Kailasa, Mihan Nagpur",850 sqft,Poss. by Oct '25,8 out of 16,"₹
62.5 Lac",,,
2 BHK Apartment for Sale in Wanadongri Nagpur,N/A,Poss. by Jan '25,3 out of 6,"₹
35 Lac",,,
3 BHK Villa for Sale in Narendra Nagar Nagpur,1300 sqft,Ready to Move,N/A,"₹
2.30 Cr",,New Property,
1 BHK Apartment for Sale in Prerna Nagar Nagpur,580 sqft,Ready to Move,1 out of 3,"₹
25 Lac",,,
3 BHK House for Sale in Jamtha Nagpur,915 sqft,Ready to Move,Lower Basement out of 2,"₹
51 Lac",,,
"2 BHK Apartment for Sale in Techops Garden, Umred Road Nagpur",N/A,Ready to Move,3 out of 7,"₹
42.5 Lac",,,
"3 BHK Apartment for Sale in Shiv Elite, Wardha Road Nagpur",2020 sqft,Ready to Move,5 out of 7,"₹
1.25 Cr",,,
2 BHK Apartment for Sale in Khamla Nagpur,750 sqft,Ready to Move,2 out of 6,"₹
55 Lac",,,
"3 BHK House for Sale in Kanchan Ganga, Hingna Nagpur",1100 sqft,Ready to Move,N/A,"₹
55 Lac",,Resale,
3 BHK Apartment for Sale in New Manish Nagar Nagpur,2000 sqft,Ready to Move,4 out of 6,"₹
61 Lac",,,
"3 BHK Apartment for Sale in Jayanti Nagari 7, Besa Nagpur",N/A,Ready to Move,13 out of 26,"₹
75 Lac",,,
"2 BHK Apartment for Sale in Shewalkar garden, Laxmi Nagar Nagpur",900 sqft,Ready to Move,4 out of 7,"₹
65 Lac",,,
3 BHK House for Sale in Hingna Road Nagpur,N/A,Ready to Move,N/A,"₹
45 Lac",,Resale,
"1 BHK Apartment for Sale in Pramod Rajshree plaza, Khamla Nagpur",570 sqft,Ready to Move,3 out of 5,"₹
32 Lac",,,
"3 BHK Apartment for Sale in Moraj Waterfall Gateway, Mihan Nagpur",1471 sqft,Ready to Move,17 out of 18,"₹
67 Lac",,,
2 BHK Apartment for Sale in Om Nagar Nagpur,900 sqft,Ready to Move,1 out of 4,"₹
34 Lac",,,
"2 BHK Apartment for Sale in Nirmal Empire, Manish Nagar Nagpur",N/A,Ready to Move,4 out of 6,"₹
50 Lac",,,
"3 BHK Apartment for Sale in Rachana Mathura, Manakpura Nagpur",1150 sqft,Ready to Move,3 out of 3,"₹
40 Lac",,,
"2 BHK Apartment for Sale in Shiv Kailasa, Mihan Nagpur",850 sqft,Poss. by Nov '25,5 out of 16,"₹
60.3 Lac",,,
"2 BHK Apartment for Sale in The Empyrean, Kotewada Nagpur",N/A,Ready to Move,3 out of 7,"₹
45 Lac",,,
"1 BHK Apartment for Sale in The Empyrean Vista, Wardha Road Nagpur",N/A,Ready to Move,3 out of 3,"₹
17.8 Lac",,,
2 BHK Builder Floor for Sale in Suman Vihar Nagpur,N/A,Ready to Move,1 out of 5,"₹
25 Lac",,,
2 BHK Apartment for Sale in Tukdoji square Nagpur,800 sqft,Ready to Move,3 out of 3,"₹
40 Lac",,,
2 BHK Apartment for Sale in Trimurti Nagar Nagpur,800 sqft,Ready to Move,2 out of 5,"₹
55 Lac",,,
3 BHK Apartment for Sale in Abhilasha Rajendranagar Nagpur,N/A,Ready to Move,Ground out of 1,"₹
1.50 Cr",,,
3 BHK Apartment for Sale in KT Nagar Nagpur,N/A,Ready to Move,4 out of 7,"₹
48 Lac",,,
3 BHK Villa for Sale in Besa Nagpur,N/A,Const. Age undefined,N/A,"₹
1.50 Cr",,N/A,Semi-Furnished
"3 BHK Apartment for Sale in Jayanti Nagari 7, Besa Nagpur",1000 sqft,Ready to Move,3 out of 26,"₹
98 Lac",,,
3 BHK Apartment for Sale in Manish Nagar Nagpur,N/A,Ready to Move,3 out of 5,"₹
91 Lac",,,
2 BHK Apartment for Sale in Shree Nagar Nagpur,N/A,Ready to Move,1 out of 2,"₹
42 Lac",,,
"3 BHK Apartment for Sale in Vrindavan Phase III, Jamtha Nagpur",N/A,Ready to Move,1 out of 7,"₹
45 Lac",,,
2 BHK Apartment for Sale in Gorewada Road Nagpur,955 sqft,Ready to Move,2 out of 4,"₹
40 Lac",,,
"2 BHK Apartment for Sale in Renuka Apartment, Jaripatka Nagpur",N/A,Ready to Move,1 out of 3,"₹
50 Lac",,,
"2 BHK Apartment for Sale in Ashok Vatika, Hudkeshwar Road Nagpur",N/A,Ready to Move,2 out of 5,"₹
38 Lac",,,
"2 BHK Apartment for Sale in Shiv Kailasa, Mihan Nagpur",N/A,Ready to Move,2 out of 16,"₹
59.5 Lac",,,
2 BHK Apartment for Sale in Chandra Mani Nagar Nagpur,900 sqft,Ready to Move,2 out of 3,"₹
44 Lac",,,
1 BHK Apartment for Sale in Anand Millennium Tower Nagpur,550 sqft,Ready to Move,3 out of 5,"₹
26 Lac",,,
3 BHK Apartment for Sale in vaishnavi infinity Nagpur,1400 sqft,Poss. by Oct '24,1 out of 6,"₹
80 Lac",,,
"3 BHK Apartment for Sale in Shiv Elite, Wardha Road Nagpur",1100 sqft,Ready to Move,5 out of 8,"₹
73 Lac",,,
3 BHK Apartment for Sale in Laxmi Nagar Nagpur,1600 sqft,Ready to Move,3 out of 4,"₹
1.65 Cr",,,
3 BHK Apartment for Sale in Dhantoli Nagpur,1200 sqft,Ready to Move,5 out of 7,"₹
1.75 Cr",,,
3 BHK Apartment for Sale in Manewada Nagpur,1165 sqft,Poss. by Nov '24,1 out of 4,"₹
61 Lac",,,
3 BHK Apartment for Sale in Amravati Road Nagpur,1135 sqft,Ready to Move,5 out of 7,"₹
98.9 Lac",,,
2 BHK Apartment for Sale in Trimurti Nagar Nagpur,900 sqft,Ready to Move,2 out of 6,"₹
65 Lac",,,
1 BHK Apartment for Sale in Ram Das Peth Nagpur,650 sqft,Ready to Move,2 out of 4,"₹
30 Lac",,,
"2 BHK Apartment for Sale in Bhole Baba Ashirwad Apartment, Bhole Nagar Nagpur",700 sqft,Ready to Move,2 out of 3,"₹
33 Lac",,,
"2 BHK Apartment for Sale in TATTVA APAS, Bel Tarodi Nagpur",882 sqft,Poss. by Nov '25,2 out of 12,"₹
53.6 Lac",,,
2 BHK Apartment for Sale in Manewada Nagpur,N/A,Ready to Move,3 out of 5,"₹
40 Lac",,,
"1 BHK Apartment for Sale in FIRE Arcor Empyrean Eternity, Kotewada Nagpur",600 sqft,Ready to Move,1 out of 4,"₹
20 Lac",,,
2 BHK Apartment for Sale in shri nagari 1 Nagpur,750 sqft,Ready to Move,5 out of 11,"₹
35 Lac",,,
2 BHK Apartment for Sale in Besa Nagpur,856 sqft,Ready to Move,2 out of 5,"₹
50 Lac",,,
3 BHK Apartment for Sale in Gandhi Nagar Nagpur,1400 sqft,Poss. by Oct '25,1 out of 6,"₹
1.50 Cr",,,
4 BHK Villa for Sale in Mankapur Nagpur,3000 sqft,Ready to Move,N/A,"₹
3.35 Cr",,Resale,
1 BHK Apartment for Sale in Chichbhavan Main Road Nagpur,N/A,Ready to Move,2 out of 4,"₹
22 Lac",,,
3 BHK Apartment for Sale in Abhay Nagar Nagpur,950 sqft,Ready to Move,3 out of 4,"₹
55 Lac",,,
"2 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Mar '26,3 out of 13,"₹
36.8 Lac",,,
"3 BHK Apartment for Sale in Vedbhumi Vatsalyabhumi, Wathoda Nagpur",1760 sqft,Ready to Move,5 out of 7,"₹
90 Lac",,,
"2 BHK Apartment for Sale in Maria Ranjana Hills, Wagdara Nagpur",917 sqft,Ready to Move,1 out of 4,"₹
42 Lac",,,
"2 BHK Apartment for Sale in Bloomdale, Mihan Nagpur",850 sqft,Ready to Move,7 out of 7,"₹
90 Lac",,,
"3 BHK Apartment for Sale in Pyramid Gloria, Pipla Nagpur",N/A,Poss. by Nov '24,4 out of 15,"₹
49 Lac",,,
"2 BHK Apartment for Sale in Richmond Greens, Koradi Road Nagpur",800 sqft,Ready to Move,3 out of 3,"₹
30 Lac",,,
2 BHK Apartment for Sale in Hudkeshwar Road Nagpur,900 sqft,Poss. by Oct '24,3 out of 7,"₹
40 Lac",,,
3 BHK House for Sale in Arjun park beltarodi Nagpur,1550 sqft,Ready to Move,N/A,"₹
90 Lac",,Resale,
